time,temperature,supersaturation,growth rate,nucleation rate,transform time,concentration,"$\mu_{s,0}$","$\mu_{s,1}$","$\mu_{s,2}$","$\mu_{s,3}$","$\mu_{s,4}$","$\mu_{n,0}$","$\mu_{n,1}$","$\mu_{n,2}$","$\mu_{n,3}$","$\mu_{n,4}$",PDF for size=0
min,$^oC$,-,$\mu m/min$,$1/(\mu m^3*min)$,\mu m,g/L,$1/\mu m^3$,$1/\mu m^2$,$1/\mu m$,-,$\mu m$,$1/\mu m^3$,$1/\mu m^2$,$1/\mu m$,-,$\mu m$,$1/\mu m^4$
0.0,32.0,0.0,0.0,0.0,0,492.9904,4.710811560361758e-13,4.7108115603617594e-11,4.720213145762058e-09,4.73922160591736e-07,4.7672612146351655e-05,0.0,0.0,0.0,0.0,0.0,0
1.0,31.95,0.0017154848481482933,1.5575302879889077,1.6061903362813744e-16,0.7787651439944538,492.990379445209,4.710811560361758e-13,4.742987013311239e-11,4.784795719908972e-09,4.836637676793283e-07,4.898140269319506e-05,5.818295530554496e-17,1.952543674313929e-17,1.1401974315310334e-17,8.469547185893165e-18,6.353414294967722e-18,1.0312417990633729e-16
2.0,31.9,0.00343498027976225,3.894626531172953,5.979418131728343e-16,3.504843553575384,492.9902960206293,4.710811560361758e-13,4.8692803122169825e-11,5.042564382229005e-09,5.232014792517724e-07,5.438301554583539e-05,4.121552145190971e-16,6.355534071372605e-16,1.459017341364736e-15,3.9464825461956375e-15,1.1105315338315558e-14,1.5352994912011523e-16
3.0,31.85,0.005158437000398195,6.6614648913933365,1.4298831817019367e-15,8.782889264858529,492.99011984024986,4.710811560361758e-13,5.116486517619821e-11,5.566636691246435e-09,6.066991085899191e-07,6.623271929665273e-05,1.3843645293418595e-15,5.235863378800337e-15,2.848677047812182e-14,1.8473841271405555e-13,1.3039910514773379e-12,2.146499613845232e-16
4.0,31.8,0.006885781274988918,9.753131175711893,2.971102441683317e-15,16.990187298411144,492.98980923815316,4.710811560361758e-13,5.5019900024343235e-11,6.435570122794177e-09,7.53901046947542e-07,8.844600654446392e-05,3.506360923527428e-15,2.4776401178603057e-14,2.522012746767527e-13,3.0315699348925015e-12,3.960578673500687e-11,3.0463062458159263e-16
5.0,31.75,0.008616887305782958,13.11319006178244,5.8538820346814556e-15,28.42334791715831,492.9892973698022,4.710811560361758e-13,6.039615692317925e-11,7.752789966719782e-09,9.96467283825576e-07,0.00012823924116873777,7.770480568540904e-15,8.769544575948371e-14,1.4501441068112084e-12,2.8430188652235662e-11,6.130641636266324e-10,4.46411743221981e-16
6.0,31.7,0.010351547915819739,16.70524318604309,1.1275342270461292e-14,43.33256454107108,492.98847812543204,4.710811560361758e-13,6.74110816438771e-11,9.65600147977554e-09,1.3845784341135636e-06,0.00019874916868644024,1.605503542583349e-14,2.610782564819266e-13,6.354219765780285e-12,1.8475388924161338e-10,5.94395937082412e-09,6.749582837489983e-16
7.0,31.65,0.012089433598102122,20.50320103957826,2.1433003509715272e-14,61.936786653881754,492.9871865233203,4.710811560361758e-13,7.616753040642049e-11,1.2324847889569644e-08,1.995959490765709e-06,0.00032351829746300064,3.188758654927256e-14,6.962241668890289e-13,2.325884370647409e-11,9.373995006351415e-10,4.200193373579218e-08,1.0453491368661006e-15
8.0,31.6,0.013830034914664715,24.48682827328573,4.0255910497801765e-14,84.43180131031374,492.985171211691,4.710811560361758e-13,8.675757015256495e-11,1.598745900456013e-08,2.9480159476631013e-06,0.0005439756737021888,6.178562922994358e-14,1.7243566712079289e-12,7.520944367198632e-11,4.0049375318091875e-09,2.3881950134078905e-07,1.643982227854293e-15
9.0,31.55,0.015572580366265909,28.639259013964185,7.459780102142997e-14,110.9948449539387,492.9820553513336,4.710811560361758e-13,9.926459827734939e-11,2.0926281897376458e-08,4.413697146939184e-06,0.00093141645987536,1.1752890406354049e-13,4.048790048106591e-12,2.2201095620758863e-10,1.5034808136136284e-08,1.1483893195625372e-06,2.6047392142742558e-15
10.0,31.5,0.017315912353634614,32.94531851864727,1.3617672381186146e-13,141.7871337202444,492.9772775998787,4.710811560361758e-13,1.1376452376394512e-10,2.7483342494624587e-08,6.641927743588385e-06,0.00160581531243692,2.1998334531682558e-13,9.123242360911403e-12,6.114195624789846e-10,5.1141393898715196e-08,4.859674467088207e-06,4.133416519703233e-15
11.0,31.45,0.0190582865631456,37.39008876645541,2.447893001524727e-13,176.95483736279576,492.96999667116097,4.710811560361758e-13,1.303262235653711e-10,3.606479085479903e-08,9.982935066944463e-06,0.0027641924464916665,4.054277220641975e-13,1.9869734786313557e-11,1.592808872066141e-09,1.6081118796272122e-07,1.856741849152709e-05,6.5469034235641045e-15
12.0,31.4,0.020797014233831616,41.95725971476721,4.339165020950164e-13,216.62851160340708,492.95892101939296,4.710811560361758e-13,1.4901129475245352e-10,4.7144498968374297e-08,1.4918899189528819e-05,0.004722210743555511,7.36160655599799e-13,4.2014211009971236e-11,3.9611402080497965e-09,4.7397112606516067e-07,6.524035404855053e-05,1.0341869441542576e-14
13.0,31.35,0.022527769936273423,46.62660961660413,7.612224213577232e-13,260.92044626909274,492.9419790551636,4.710811560361758e-13,1.6987285773268388e-10,6.1266103482021e-08,2.209980775853575e-05,0.007973246682801171,1.318865596935891e-12,8.654243936765386e-11,9.464615558484866e-09,1.3224294903720498e-06,0.00021365630173687447,1.632592263552968e-14
14.0,31.3,0.02424318329620554,51.36935847036642,1.3296112362951599e-12,309.91843031257804,492.9156482087583,4.710811560361758e-13,1.9295274067301906e-10,7.904217436307502e-08,3.2383389574890764e-05,0.013269231701788507,2.338056653867481e-12,1.742192547196921e-10,2.183405253101883e-08,3.517921799758513e-06,0.0006584911422136977,2.5883352953729728e-14
15.0,31.25,0.02592991034458044,56.138803288410585,2.331409757788266e-12,363.6725111919665,492.87356059212806,4.710811560361758e-13,2.1827550438882512e-10,1.0114756976700353e-07,4.6875838251819283e-05,0.02172645687318855,4.1206723861348e-12,3.440576822420321e-10,4.88384933921814e-08,8.972210862269365e-06,0.0019238056085578638,4.152938112718137e-14
16.0,31.2,0.027562542953183212,60.85093628482532,4.142003074905306e-12,422.16738097858445,492.8036068237034,4.710811560361758e-13,2.458359842806329e-10,1.2830029018031687e-07,6.696435147765856e-05,0.03495390250925384,7.266550526725236e-12,6.696212506177845e-10,1.063560250719429e-07,2.2037142387444584e-05,0.005356588030189781,6.806802537134036e-14
